epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,125.737,1.10045,1.51862,1.12071,0.98405,1,0.995,0.53566,1.65666,1.93865,1.64124,0.0011684,0.0011684,0.0011684
44,128.451,0.98356,1.53557,1.09962,0.99112,1,0.995,0.59973,1.45969,1.72199,1.48364,0.0011486,0.0011486,0.0011486
45,131.312,0.95715,1.59075,1.03106,0.99112,1,0.995,0.59973,1.45969,1.72199,1.48364,0.0011288,0.0011288,0.0011288
46,134.279,1.07359,1.49023,1.04722,0.99693,1,0.995,0.61687,1.40219,1.6546,1.49347,0.001109,0.001109,0.001109
47,137.119,1.08171,1.56097,1.09203,1,0.98928,0.995,0.60486,1.42132,1.68973,1.51185,0.0010892,0.0010892,0.0010892
48,139.875,1.00369,1.56017,1.10825,1,0.98928,0.995,0.60486,1.42132,1.68973,1.51185,0.0010694,0.0010694,0.0010694
49,142.699,1.06759,1.66203,1.16928,0.97084,1,0.995,0.62405,1.41073,1.6013,1.51929,0.0010496,0.0010496,0.0010496
50,145.508,0.97401,1.48945,1.1087,0.97084,1,0.995,0.62405,1.41073,1.6013,1.51929,0.0010298,0.0010298,0.0010298
51,148.33,0.98539,1.2734,1.01597,0.98778,0.88889,0.984,0.61629,1.41948,1.57497,1.50364,0.00101,0.00101,0.00101
52,151.165,1.00632,1.49806,1.08254,1,0.97614,0.995,0.59088,1.42821,1.61406,1.5114,0.0009902,0.0009902,0.0009902
53,153.925,1.02708,1.47063,1.08232,1,0.97614,0.995,0.59088,1.42821,1.61406,1.5114,0.0009704,0.0009704,0.0009704
54,156.683,0.97964,1.34681,1.06007,1,0.99644,0.995,0.58931,1.46406,1.65471,1.51761,0.0009506,0.0009506,0.0009506
55,159.56,0.89387,1.2274,0.99181,0.98834,1,0.995,0.59128,1.47269,1.59563,1.52019,0.0009308,0.0009308,0.0009308
56,162.314,0.89766,1.34143,1.03575,0.98834,1,0.995,0.59128,1.47269,1.59563,1.52019,0.000911,0.000911,0.000911
57,165.185,0.99132,1.60159,1.06027,0.98742,1,0.995,0.53693,1.60903,1.47582,1.5836,0.0008912,0.0008912,0.0008912
58,168.168,0.93795,1.58998,1.07144,0.98742,1,0.995,0.53693,1.60903,1.47582,1.5836,0.0008714,0.0008714,0.0008714
59,171.278,1.0163,1.35728,1.07572,0.9899,1,0.995,0.51335,1.65926,1.5166,1.56035,0.0008516,0.0008516,0.0008516
60,174.11,0.94651,1.32823,1.02405,0.98939,1,0.995,0.54195,1.49267,1.40241,1.47706,0.0008318,0.0008318,0.0008318
61,176.892,0.9715,1.31431,1.04518,0.98939,1,0.995,0.54195,1.49267,1.40241,1.47706,0.000812,0.000812,0.000812
62,179.947,0.94044,1.33838,1.04385,0.99036,1,0.995,0.53426,1.46096,1.37616,1.51978,0.0007922,0.0007922,0.0007922
63,182.857,0.82874,1.16951,1.03117,0.99059,1,0.995,0.55567,1.45467,1.34875,1.50713,0.0007724,0.0007724,0.0007724
64,185.96,0.9423,1.35711,1.02939,0.99059,1,0.995,0.55567,1.45467,1.34875,1.50713,0.0007526,0.0007526,0.0007526
65,188.85,0.93929,1.42304,1.03832,0.99242,1,0.995,0.54352,1.42762,1.48053,1.46807,0.0007328,0.0007328,0.0007328
66,192.009,0.9407,1.22629,1.06186,0.99242,1,0.995,0.54352,1.42762,1.48053,1.46807,0.000713,0.000713,0.000713
67,195.125,0.82854,1.23184,1.00272,0.99096,1,0.995,0.55191,1.44205,1.48875,1.4654,0.0006932,0.0006932,0.0006932
68,198.042,0.84183,1.1298,1.03697,0.99166,1,0.995,0.56351,1.48284,1.29198,1.49745,0.0006734,0.0006734,0.0006734
69,200.896,0.92184,1.063,1.01505,0.99166,1,0.995,0.56351,1.48284,1.29198,1.49745,0.0006536,0.0006536,0.0006536
70,203.902,0.87219,1.15032,1.03946,0.99282,1,0.995,0.55683,1.5079,1.20065,1.53369,0.0006338,0.0006338,0.0006338
71,207.004,0.79709,1.08098,0.99057,0.99155,1,0.995,0.5293,1.52617,1.18021,1.54669,0.000614,0.000614,0.000614
72,209.914,0.87466,1.09632,1.00664,0.99155,1,0.995,0.5293,1.52617,1.18021,1.54669,0.0005942,0.0005942,0.0005942
73,212.935,0.8876,1.11741,0.98354,0.98732,1,0.995,0.53821,1.47539,1.20965,1.51939,0.0005744,0.0005744,0.0005744
